date begin,date end,score,number of words,pos_simple,neg_simple
2013-04-08 00:00:00,2013-04-14 00:00:00,0.014151642617449195,559,3,13
2013-04-01 00:00:00,2013-04-07 00:00:00,0.006940497894704854,534,6,14
2013-03-25 00:00:00,2013-03-31 00:00:00,0.020835573058443288,453,9,5
2013-03-18 00:00:00,2013-03-24 00:00:00,0.022411354411332404,585,9,17
2013-03-11 00:00:00,2013-03-17 00:00:00,0.023862080544721886,540,6,11
2013-03-04 00:00:00,2013-03-10 00:00:00,0.016279240378611583,513,7,12
2013-02-25 00:00:00,2013-03-03 00:00:00,0.018332525144649458,420,6,15
2013-02-18 00:00:00,2013-02-24 00:00:00,0.006095235281560781,536,2,11
2013-02-11 00:00:00,2013-02-17 00:00:00,0.027042646107285156,543,8,5
2013-02-04 00:00:00,2013-02-10 00:00:00,0.013353390142915405,539,6,22
2013-01-28 00:00:00,2013-02-03 00:00:00,0.012180004757852813,569,5,16
2013-01-21 00:00:00,2013-01-27 00:00:00,-0.006673089578698361,434,5,17
2013-01-14 00:00:00,2013-01-20 00:00:00,0.014144050904150766,567,8,22
2013-01-07 00:00:00,2013-01-13 00:00:00,0.01119071212055848,615,5,10
2012-12-31 00:00:00,2013-01-06 00:00:00,0.012455051675370463,470,3,10
2012-12-24 00:00:00,2012-12-30 00:00:00,0.01038619304136437,475,5,13
2012-12-17 00:00:00,2012-12-23 00:00:00,0.013512938199426205,559,7,16
2012-12-10 00:00:00,2012-12-16 00:00:00,0.0058033648560103755,533,4,9
2012-12-03 00:00:00,2012-12-09 00:00:00,0.008551748220178294,546,5,10
2012-11-26 00:00:00,2012-12-02 00:00:00,0.009034270279136326,556,9,27
2012-11-19 00:00:00,2012-11-25 00:00:00,0.016873941306199413,468,4,9
2012-11-12 00:00:00,2012-11-18 00:00:00,0.01585770886216448,545,9,14
2012-11-05 00:00:00,2012-11-11 00:00:00,0.00928314738714235,633,7,14
2012-10-29 00:00:00,2012-11-04 00:00:00,0.00559048212120493,455,4,5
2012-10-22 00:00:00,2012-10-28 00:00:00,0.010218330458098767,360,4,7
2012-10-15 00:00:00,2012-10-21 00:00:00,0.010068792495050424,506,5,11
2012-10-08 00:00:00,2012-10-14 00:00:00,0.001780981207189509,497,5,15
2012-10-01 00:00:00,2012-10-07 00:00:00,0.020802076894435226,640,5,15
2012-09-24 00:00:00,2012-09-30 00:00:00,0.00777935586026108,629,4,24
2012-09-17 00:00:00,2012-09-23 00:00:00,0.004077819648025687,514,11,13
2012-09-10 00:00:00,2012-09-16 00:00:00,0.02868920083086259,610,7,6
2012-09-03 00:00:00,2012-09-09 00:00:00,0.012056635687938615,563,5,18
2012-08-27 00:00:00,2012-09-02 00:00:00,-0.0014695477890560703,496,8,26
2012-08-20 00:00:00,2012-08-26 00:00:00,0.013489503380665614,489,6,15
2012-08-13 00:00:00,2012-08-19 00:00:00,0.010443496097959746,528,5,13
2012-08-06 00:00:00,2012-08-12 00:00:00,0.0043624368047853225,572,6,19
2012-07-30 00:00:00,2012-08-05 00:00:00,0.013449604927325609,571,5,18
2012-07-23 00:00:00,2012-07-29 00:00:00,0.016011902517204392,543,5,15
2012-07-16 00:00:00,2012-07-22 00:00:00,0.011557183970660466,648,9,9
2012-07-09 00:00:00,2012-07-15 00:00:00,0.00940165487627789,632,2,19
2012-07-02 00:00:00,2012-07-08 00:00:00,0.01601124183065151,598,3,14
2012-06-25 00:00:00,2012-07-01 00:00:00,0.011579506583840174,520,5,7
2012-06-18 00:00:00,2012-06-24 00:00:00,0.018051439590636893,631,7,5
2012-06-11 00:00:00,2012-06-17 00:00:00,0.024616217121758863,601,5,4
2012-06-04 00:00:00,2012-06-10 00:00:00,0.022202252508043408,493,9,5
2012-05-28 00:00:00,2012-06-03 00:00:00,0.014977038214576046,565,7,14
2012-05-21 00:00:00,2012-05-27 00:00:00,0.009240602760717618,501,9,22
2012-05-14 00:00:00,2012-05-20 00:00:00,0.01532238225394279,701,8,12
2012-05-07 00:00:00,2012-05-13 00:00:00,0.012557822469484734,401,3,9
2012-04-30 00:00:00,2012-05-06 00:00:00,0.013348494368884708,552,2,12
2012-04-23 00:00:00,2012-04-29 00:00:00,0.027555595300844043,467,2,8
